# ID	x	y	Flux	Bkg	m
7.6200e+02	1.5170e+03	7.2000e+02	3.8790e+03	3.4200e+03	1.6328e+01
7.6300e+02	2.2830e+03	1.1860e+03	6.4080e+03	3.4180e+03	1.5783e+01
7.6400e+02	1.7360e+03	1.7500e+03	8.7610e+03	3.4180e+03	1.5444e+01
7.6500e+02	9.2800e+02	2.0270e+03	2.9640e+03	3.4210e+03	1.6620e+01
7.6600e+02	6.0600e+02	2.7530e+03	5.7725e+03	3.4255e+03	1.5897e+01
7.6700e+02	2.3770e+03	2.8250e+03	8.0160e+03	3.4190e+03	1.5540e+01
7.6800e+02	1.0700e+03	3.2770e+03	3.9650e+03	3.4430e+03	1.6304e+01
7.6900e+02	2.3600e+03	4.7700e+02	6.5720e+03	3.4090e+03	1.5756e+01
7.7000e+02	7.2600e+02	1.1880e+03	5.3190e+03	3.4260e+03	1.5985e+01
7.7100e+02	1.6500e+02	1.5050e+03	5.8640e+03	3.4200e+03	1.5880e+01
7.7200e+02	1.3250e+03	1.8580e+03	3.7050e+03	3.4180e+03	1.6378e+01
7.7300e+02	1.8850e+03	3.0090e+03	6.1780e+03	3.4300e+03	1.5823e+01
7.7400e+02	8.6100e+02	4.2940e+03	7.0450e+03	3.4210e+03	1.5680e+01
7.7500e+02	4.1100e+02	7.5900e+02	6.3550e+03	3.4290e+03	1.5792e+01
7.7600e+02	1.6410e+03	2.0470e+03	5.6050e+03	3.4220e+03	1.5929e+01
7.7700e+02	7.6000e+02	3.9550e+03	2.5490e+03	3.4220e+03	1.6784e+01
7.7800e+02	8.0700e+02	2.7800e+02	8.7370e+03	3.4270e+03	1.5447e+01
7.7900e+02	1.7430e+03	2.1550e+03	3.7120e+03	3.4260e+03	1.6376e+01
7.8000e+02	8.9800e+02	3.1320e+03	4.8450e+03	3.4310e+03	1.6087e+01
7.8100e+02	3.0000e+02	4.3740e+03	2.9490e+03	3.4210e+03	1.6626e+01
7.8200e+02	1.5420e+03	5.3100e+02	3.9260e+03	3.4190e+03	1.6315e+01
